invoice_id,entity,date,amount
INV-AD-40,Apex Dynamics,2025-01-09,25732.17
INV-SM-4,Starlight Media,2025-01-09,8229.09
INV-NC-11,Nexus Cloud,2025-01-14,32641.07
AD126,Apex Dynamics,2025-01-15,6066.68
INV-VL-58,Veritas Legal,2025-01-13,3975.23
NH116,Novus Health,2025-01-27,7537.89
NH-2025008,Novus Health,2025-01-06,27707.09
INV-BT-45,BlueShift Tech,2025-01-04,23122.69
NC-2025050,Nexus Cloud,2025-01-23,19541.05
IS-2025017,IronClad Security,2025-01-12,32354.19
QR-2025005,Quantum Retail,2025-01-24,3769.78
INV-SM-41,Starlight Media,2025-01-26,29560.53
MF124,Meridian Financial,2025-01-02,24791.98
VL-2025027,Veritas Legal,2025-01-16,16948.63
VL100,Veritas Legal,2025-01-08,5111.21
INV-SM-33,Starlight Media,2025-01-26,11038.5
MF-2025043,Meridian Financial,2025-01-20,2033.14
NC122,Nexus Cloud,2025-01-27,6746.07
INV-IS-7,IronClad Security,2025-01-03,12124.44
MF-2025048,Meridian Financial,2025-01-08,31189.68
MF139,Meridian Financial,2025-01-13,23958.15
INV-VL-54,Veritas Legal,2025-01-23,7983.64
AD115,Apex Dynamics,2025-01-25,23586.89
IS144,IronClad Security,2025-01-12,18165.42
INV-NC-49,Nexus Cloud,2025-01-26,3734.68
INV-NH-34,Novus Health,2025-01-02,844.09
INV-SM-35,Starlight Media,2025-01-08,33020.46
IS-2025038,IronClad Security,2025-01-28,30751.61
ZL120,Zenith Logistics,2025-01-05,6544.35
NH123,Novus Health,2025-01-18,18800.07
AD-2025057,Apex Dynamics,2025-01-02,5833.15
AD-2025029,Apex Dynamics,2025-01-19,32275.09
INV-MF-59,Meridian Financial,2025-01-04,3265.65
INV-QR-31,Quantum Retail,2025-01-26,4197.72
VL-2025051,Veritas Legal,2025-01-08,22773.11
SM128,Starlight Media,2025-01-18,34188.68
ZL110,Zenith Logistics,2025-01-10,1989.15
NH119,Novus Health,2025-01-10,15842.86
INV-ZL-21,Zenith Logistics,2025-01-30,7952.75
INV-VL-13,Veritas Legal,2025-01-27,2393.02
BT112,BlueShift Tech,2025-01-12,25987.54
INV-AD-46,Apex Dynamics,2025-01-11,32265.0
NH-2025037,Novus Health,2025-01-16,23832.69
INV-IS-32,IronClad Security,2025-01-01,16724.37
NC114,Nexus Cloud,2025-01-18,31078.31
INV-MF-2,Meridian Financial,2025-01-05,16266.04
QR-2025003,Quantum Retail,2025-01-27,11908.16
INV-IS-6,IronClad Security,2025-01-18,14335.56
INV-NH-56,Novus Health,2025-01-16,5767.12
MF101,Meridian Financial,2025-01-19,16585.47
IS-2025047,IronClad Security,2025-01-29,25588.97
INV-BT-42,BlueShift Tech,2025-01-28,20175.68
QR118,Quantum Retail,2025-01-02,14571.44
BT153,BlueShift Tech,2025-01-17,6241.84
INV-AD-52,Apex Dynamics,2025-01-23,10401.32
AD155,Apex Dynamics,2025-01-17,30605.99
ZL130,Zenith Logistics,2025-01-31,21375.2
SM-2025036,Starlight Media,2025-01-17,14372.36
INV-SM-9,Starlight Media,2025-01-30,34770.46
ZL125,Zenith Logistics,2025-01-10,20348.34
